	1016
neue	13
jedoch	13
jedermann	13
3	13
erhalten	13
dürfen	13
lizenzen	13
begriff	13
personen	13
waren	13
mir	13
verschiedene	12
siehe	12
daher	12
verkaufen	12
person	12
berechtigung	12
gnu-projekt	12
keinen	12
tatsächlich	12
ihren	12
denen	12
möglich	12
geben	12
jeder	12
teilen	12
wollen	12
unterstützung	12
diesem	11
klarstellung	11
erfordert	11
erledigen	11
kopieren	11
gesellschaft	11
akzeptabel	11
bereits	11
erlaubt	11
proprietärer	11
leben	11
ab	11
programmierern	11
saass	11
bibliothek	11
dokumentation	11
sowohl	10
ebenfalls	10
finden	10
vier	10
dafür	10
darauf	10
möglichkeit	10
programmen	10
form	10
entwickeln	10
könnte	10
obwohl	10
geht	10
probleme	10
grund	10
funktionen	10
lange	10
systemkern	10
halten	10
jahre	10
gnu-software	10
einzige	10
weniger	10
bezahlen	10
artikel	9
welches	9
kontrollieren	9
anderes	9
seinen	9
linux	9
ganz	9
verbreiten	9
nennen	9
proprietäres	9
freizugeben	9
betrachten	9
namens	9
vertrieb	9
anstatt	9
urheberrecht	9
arten	9
vermeiden	9
gleichen	9
denn	9
genug	9
jetzt	9
benutzt	9
geschrieben	9
entscheidung	9
hatten	9
konnte	9
neuen	9
annahme	9
emacs	9
qt	9
habe	9
↗	9
verfügung	8
namen	8
möchten	8
„open	8
source“	8
wort	8
kontrolliert	8
zweck	8
freies	8
verfügbar	8
lage	8
praxis	8
dinge	8
deren	8
allerdings	8
verwendet	8
stellen	8
darf	8
beispiel	8
meinen	8
freie-software-bewegung	8
sprechen	8
niemand	8
schlecht	8
doch	8
mag	8
diejenigen	8
gemacht	8
ai	8
situation	8
vom	8
stattdessen	8
später	8
vertriebsbedingungen	8
sehen	8
mehrere	8
werbung	8
dienstleistung	8
vertriebspreis	8
informationen	7
aller	7
sondern	7
freie-software-gemeinschaft	7
natürlich	7
aufgaben	7
0	7
lab	7
untersuchen	7
preises	7
2	7
gesamte	7
jedem	7
b	7
distribuieren	7
benötigt	7
kommerzielle	7
wichtig	7
bestimmten	7
vorzunehmen	7
weiterzugeben	7
erforderlich	7
modifizierten	7
restriktionen	7
unfreier	7
lassen	7
seine	7
verlangen	7
dadurch	7
beschränkungen	7
könnten	7
ebenso	7
ihrer	7
hilfe	7
führt	7
klar	7
gleiche	7
seit	7
behandeln	7
häufig	7
allgemeinen	7
hardware	7
betriebssystems	7
gnu/linux	7
server	7
beim	7
bekommen	7
darin	7
hätte	7
mangel	7
genutzt	7
jedes	7
verkauf	7
x11	7
weiterhin	7
unix-system	7
bis	7
ermöglichen	7
vorteil	7
patente	7
indem	7
guten	7
berechnen	7
name	6
richard	6
stallman	6
jahr	6
ideen	6
benutzern	6
erstellen	6
spiele	6
anbieten	6
fördern	6
spenden	6
fragen	6
freie-software-definition	6
kriterien	6
verbessern	6
gratis	6
sei	6
eigenen	6
anzupassen	6
solange	6
a	6
dessen	6
somit	6
bedingung	6
wirklich	6
solcher	6
wesentlichen	6
beschränkt	6
anforderungen	6
modifikationen	6
zahlen	6
notwendig	6
besser	6
hinweis	6
wahl	6
überhaupt	6
ersetzen	6
allen	6
hinzuzufügen	6
unfreien	6
wörter	6
sowie	6
bevor	6
schwer	6
werke	6
gab	6
wichtiger	6
programmierung	6
handelt	6
welt	6
kombination	6
fall	6
zukunft	6
lehren	6
gebrauch	6
gut	6
vorteile	6
anfang	6
projekt	6
jahren	6
meine	6
ausdruck	6
bin	6
ganzen	6
begann	6
systeme	6
handbüchern	6
lebensunterhalt	6
beitragen	6
hurd	6
alix	6
denke	6
gebiet	6
autoren	6
anzubieten	5
systems	5
stehen	5
anderer	5
bibliotheken	5
anderem	5
copyright	5
senden	5
unser	5
werk	5
philosophie	5
praktische	5
beziehen	5
unfreies	5
zugang	5
unterscheiden	5
entscheiden	5
möglicherweise	5
darüber	5
steht	5
sinnvoll	5
kommt	5
entsprechend	5
änderung	5
entweder	5
freigabe	5
verlangt	5
formen	5
betriebssysteme	5
richtlinien	5
richtlinie	5
bedingungen	5
paar	5
aktivitäten	5
gegenüber	5
falle	5
softwarelizenz	5
einschließlich	5
daran	5
vielleicht	5
wissen	5
etwa	5
bezieht	5
abhält	5
d	5
einigen	5
freigegeben	5
erlauben	5
aufgrund	5
nun	5
beiden	5
beide	5
heutzutage	5
ungerecht	5
gerade	5
verteilen	5
bringen	5
programmieren	5
enthalten	5
erste	5
oft	5
zwei	5
staat	5
versprechen	5
übel	5
nutzt	5
zusammenarbeit	5
regel	5
darum	5
genauso	5
besteht	5
während	5
arbeiten	5
portieren	5
teile	5
idee	5
proprietären	5
selbstverständlich	5
deshalb	5
grundlage	5
meiner	5
mein	5
machte	5
profitieren	5
entscheidend	5
beschloss	5
sammlung	5
schaffen	5
gnu-projekts	5
neu	5
ganze	5
unseren	5
verschiedenen	5
mittel	5
suchen	5
ihn	5
softwareentwicklung	5
liste	5
mach	5
abschnitte	5
1998	5
funktioniert	5
bleiben	5
handbuchs	5
hoher	5
leicht	5
umsonst	5
wettbewerb	5
belohnung	5
kreativität	5
not	4
‚gnu	4
unix‘	4
allgemeine	4
1983	4
technischen	4
gleichzeitig	4
technisch	4
vollständig	4
betriebssystemkern	4
konnten	4
ganzes	4
rechnernutzern	4
anwendungen	4
dienstprogramme	4
hacker	4
rechnernutzer	4
verteidigen	4
rechte	4
völlig	4
hier	4
definition	4
lösen	4
anders	4
respektiert	4
verstehen	4
denken	4
bzw	4
deutlich	4
wesentliche	4
mitmenschen	4
öffentlichkeit	4
beabsichtigen	4
benötigen	4
zwecke	4
untersagt	4
anstelle	4
ausgeführt	4
eher	4
vorwand	4
binärdateien	4
gebühr	4
privat	4
worten	4
qualifiziert	4
ausführbare	4
ordnung	4
sofern	4
einschränken	4
behindern	4
solch	4
anforderung	4
softwarelizenzen	4
trivial	4
einhaltung	4
größere	4
inakzeptabel	4
unmöglich	4
legitim	4
erwähnt	4
kommen	4
begriffe	4
kostenlos	4
enthält	4
punkt	4
aufwand	4
bedürfnissen	4
gründen	4
werken	4
gehört	4
h	4
öffentliche	4
lücken	4
stand	4
verpflichtung	4
hängt	4
lesen	4
jemanden	4
ausüben	4
fehlt	4
gilt	4
guter	4
bücher	4
absicht	4
beenden	4
1984	4
millionen	4
bekannt	4
gutes	4
willen	4
falsch	4
empfehlen	4
weiterer	4
schaden	4
regierung	4
schulen	4
gute	4
schließt	4
freund	4
bitten	4
besitzen	4
its	4
großen	4
gewähren	4
kurz	4
nächsten	4
“	4
einfach	4
erfolg	4
schwierig	4
alternativen	4
bedeutung	4
x	4
schließlich	4
fand	4
interesse	4
verwendung	4
wegen	4
üblichen	4
daraus	4
public	4
license	4
beschlossen	4
finanziellen	4
geschäft	4
vertreiben	4
neuer	4
schätzen	4
fertig	4
nützliche	4
mögen	4
dabei	4
library	4
readline	4
vertrieben	4
braucht	4
gnome	4
laufen	4
wege	4
unabhängig	4
herausforderungen	4
entschlossenheit	4
wenig	4
motif	4
notwendigkeit	4
patent	4
verpflichtet	4
modifizierung	4
bewusstsein	4
zehn	4
ermutigen	4
gewinnen	4
stadt	4
besten	4
quelltext	4
kosten	4
bezahlt	4
eigentum	4
tatsache	4
läufer	4
hoch	4
euro	4
rekursives	3
akronym	3
gnu’s	3
rms	3
zusammenarbeiten	3
primäre	3
unixoides	3
entsprechen	3
stelle	3
dienen	3
beiträge	3
beinhalten	3
…	3
erfolgreich	3
unterstützt	3
gemeinnützige	3
organisation	3
dagegen	3
handeln	3
liegt	3
vorschläge	3
fehler	3
kommentare	3
wenden	3
übersetzungen	3
4	3
bezüglich	3
betrachtet	3
werten	3
tat	3
verdient	3
redistribuieren	3
verbesserungen	3
welchen	3
irgendetwas	3
verarbeiten	3
unverändert	3
text	3
jegliche	3
berechtigt	3
quellcodes	3
umfasst	3
produkt	3
seiner	3
*	3
praktischen	3
wichtige	3
vorhandenen	3
angelegenheit	3
vornehmen	3
außerdem	3
veröffentlicht	3
programmkopien	3
programmiersprachen	3
hinzugefügt	3
versagen	3
vielmehr	3
glauben	3
zulässig	3
distribuierten	3
geänderten	3
ausfuhrbestimmungen	3
lediglich	3
wo	3
wahrscheinlich	3
spricht	3
verschenken	3
meinungen	3
dar	3
vermeidende	3
beurteilen	3
geist	3
genaue	3
erwarteten	3
entschieden	3
sicherstellen	3
erweitert	3
ähnliches	3
sobald	3
statt	3
offen	3
niemals	3
genau	3
geändert	3
andernfalls	3
modifizierungen	3
ersatz	3
vorhandene	3
module	3
schlussfolgerung	3
verfügbare	3
autor	3
anmerkung	3
musste	3
september	3
genutzte	3
verleitet	3
schon	3
folgen	3
wer	3
alles	3
rechners	3
behandelt	3
niemanden	3
eigener	3
gänzlich	3
proprietär	3
streng	3
genommen	3
ergebnis	3
ermöglicht	3
tut	3
entworfen	3
erlaubnis	3
„internet	3
begannen	3
rechnern	3
allem	3
verursacht	3
ort	3
ins	3
zeigen	3
schadet	3
erst	3
druck	3
treten	3
einrichtung	3
erledigt	3
behalten	3
bietet	3
microsoft	3
zeigt	3
bildung	3
ausschließlich	3
klasse	3
beschreiben	3
schritt	3
weitergabe	3
verbietet	3
internet	3
schließen	3
nie	3
existierte	3
besondere	3
pdp-10	3
universität	3
verändern	3
vertraulichkeitsvereinbarung	3
unterzeichnen	3
besagt	3
basiert	3
softwareunternehmen	3
gearbeitet	3
gäbe	3
natürliches	3
gewesen	3
menge	3
einfachste	3
vertraulichkeitsvereinbarungen	3
gefühl	3
dennoch	3
beschränkung	3
fragte	3
anzuschließen	3
kaum	3
gefunden	3
falsche	3
hauptsächlich	3
window	3
projekten	3
verlassen	3
mitarbeiter	3
softwarepaket	3
beginn	3
hoffnung	3
pastel	3
hinzu	3
gcc	3
1985	3
damals	3
ursprünglichen	3
magnetband	3
versehen	3
unterschiedliche	3
antworten	3
führten	3
genannt	3
besitzt	3
gewöhnlich	3
general	3
gnu-handbücher	3
hinzufügen	3
größte	3
modifiziert	3
kunden	3
reihe	3
gnu/linux-systemen	3
bash	3
geschäfte	3
dienstleistungen	3
themen	3
cd-rom	3
bieten	3
technische	3
ethischen	3
anstrengungen	3
inhalt	3
vielen	3
nützlich	3
komponenten	3
entwickelten	3
fehlende	3
spektrum	3
prinzips	3
ausnahme	3
scheint	3
gnu-systems	3
reduziert	3
gewinn	3
gegenseitig	3
große	3
bilden	3
bedrohungen	3
harmony	3
wählen	3
existieren	3
komponente	3
debuggen	3
nachrichten	3
freunden	3
direkt	3
chance	3
treiber	3
weit	3
verbreitet	3
nächste	3
erwarten	3
prinzipien	3
betriebssystemen	3
lücke	3
kriterium	3
papier	3
gewissenhaft	3
gewissenhaften	3
einschränkungen	3
konsequenzen	3
bemühungen	3
erreichen	3
bereit	3
hätten	3
vermieden	3
lisp	3
ki-labor	3
beschränken	3
systemsoftware	3
freundschaft	3
komplette	3
gruppe	3
gehälter	3
luft	3
weshalb	3
cent	3
geistigen	3
büchern	3
unbedingt	3
ansporn	3
freeware	3
softwaresteuer	3
sicht	3
reduzieren	3
weiter	3
anschließend	3
sorgfältig	3
sinne	3
verleger	3
milliarde	3
begrenzen	3
gnu-betriebssystem	2
ˈgnuː	2
ausgesprochen	2
engagierten	2
softwarenutzer	2
100%ig	2
gesehen	2
distributionen	2
beschrieben	2
gnu-pakete	2
aufeinander	2
gezeigt	2
pakete	2
tausende	2
gnu-entwickler	2
größeren	2
akzeptiert	2
gnu-programme	2
beizutragen	2
durchsetzung	2
bereitzustellen	2
sache	2
kontaktieren	2
verweise	2
übersetzung	2
trotzdem	2
ausgeschlossen	2
dokument	2
lizenzierung	2
org	2
soll	2
verdeutlichen	2
einzelnes	2
erfüllen	2
überarbeitet	2
problemen	2
historie	2
beinahe	2
unterschied	2
erklären	2
konzept	2
redefreiheit	2
freibier	2
libre	2
gemeinsam	2
ausführt	2
instrument	2
verfügen	2
funktionsweise	2
voraussetzung	2
adäquat	2
all	2
gewährt	2
dahinter	2
unethisch	2
bewegen	2
kommerziellen	2
egal	2
kommunizieren	2
aufzuerlegen	2
abgehalten	2
geänderte	2
verschleierter	2
originals	2
einsatz	2
dritten	2
tivoisierung	2
kompiliert	2
zusammenführung	2
restriktiv	2
qualifizieren	2
verbesserung	2
überall	2
existenz	2
besonderen	2
irgendeine	2
zulassen	2
distribution	2
dritte	2
gründe	2
substantiell	2
herzustellen	2
entfernen	2
identifizieren	2
programmänderungen	2
hin	2
zukommen	2
lässt	2
öffentlich	2
programmversionen	2
aufgerufen	2
behindert	2
anzugeben	2
softwareentwickler	2
außer	2
setzen	2
regierungen	2
potenzielles	2
rechtliche	2
gegeben	2
nutzers	2
erfordern	2
anwendbar	2
beides	2
**	2
beruhen	2
beruhende	2
möglicher	2
richtigen	2
hoffen	2
interpretation	2
überlegungen	2
wortlaut	2
abgelehnt	2
umfangreiche	2
diskussionen	2
aufgeführt	2
zuvor	2
verschiedener	2
suche	2
entspricht	2
jenseits	2
bestandteil	2
pädagogische	2
nachschlagewerke	2
wohl	2
worden	2
bevorzugt	2
41	2
welcher	2
vorgenommen	2
„verbesserungen“	2
77	2
zusätzliche	2
80	2
code	2
klarstellungen	2
explizit	2
angegebenen	2
modifizierter	2
ausdrücklich	2
erklärung	2
zusammenhang	2
varianten	2
beeinflussen	2
vollständige	2
übersicht	2
nummeriert	2
1990	2
drei	2
folgend	2
benannt	2
artikels	2
umgekehrt	2
”	2
schadsoftware	2
heißt	2
rund	2
individuell	2
vorgeben	2
ethische	2
interessen	2
sodass	2
vornimmt	2
programmiersprache	2
englisch	2
vorliegen	2
erhält	2
ersten	2
zusammen	2
falls	2
nützlicher	2
erstreckt	2
herumzubasteln	2
üblich	2
lernen	2
autos	2
ungerechtigkeit	2
ausübt	2
fällen	2
apple	2
windows	2
google	2
hintertür	2
löschen	2
führen	2
falsches	2
gelegenheit	2
pflicht	2
ungerechtigkeiten	2
sendet	2
zurück	2
serverbetreiber	2
daten	2
gezwungen	2
wem	2
dient	2
erster	2
brechen	2
gar	2
einrichtungen	2
richtig	2
staates	2
hände	2
programmiert	2
sicherheit	2
nsa	2
us-regierung	2
gleiches	2
schulung	2
richtung	2
schülerschaft	2
unterricht	2
rest	2
geteilt	2
bestrafen	2
//www	2
werde	2
gebeten	2
überlassen	2
egoistischen	2
richtige	2
zusammenzuarbeiten	2
unsozial	2
versagt	2
auswirkungen	2
gemachte	2
zurückweisen	2
englische	2
buch	2
open	2
fehlen	2
aufsatz	2
je	2
laboratory	2
alt	2
mehrbenutzer-betriebssystem	2
assembler	2
digital	2
ära	2
labs	2
geprägt	2
wann	2
firma	2
änderte	2
80ern	2
bedeutete	2
fast	2
außerstande	2
beschreibt	2
bestand	2
verboten	2
„wenn	2
irgendwelche	2
software-sozialsystem	2
überraschen	2
sonst	2
spalten	2
leser	2
gedanken	2
überraschend	2
softwarehersteller	2
hart	2
eigentliche	2
unausgesprochene	2
akzeptieren	2
gleich	2
kümmern	2
brauchbare	2
legen	2
anpassen	2
verweisen	2
moralische	2
verlust	2
erhöhen	2
ende	2
erfahrung	2
weigerte	2
druckers	2
äußerst	2
dasselbe	2
kenntnisse	2
zwar	2
suchte	2
einmal	2
antwort	2
zuerst	2
entscheidende	2
wieder	2
hackern	2
beginnen	2
freunde	2
garantiert	2
übernehmen	2
entschied	2
kompatibel	2
gewählt	2
vieles	2
hörte	2
ähnlichen	2
sammlungen	2
cd-roms	2
freie-software-entwicklung	2
gesucht	2
eindeutiges	2
derartige	2
großes	2
tex	2
textsatzsystem	2
fenstersystem	2
entscheidungen	2
projekts	2
kündigte	2
job	2
c	2
pascal	2
notwendigerweise	2
c-frontend	2
portierung	2
megabyte	2
benötigte	2
heraus	2
eingabedatei	2
syntaxbaum	2
umwandelte	2
gesamten	2
jemals	2
speicher	2
arbeitete	2
habend	2
erlernen	2
ftp-server	2
abrufbar	2
wichtigsten	2
stellte	2
autors	2
freizügigen	2
problems	2
rechnerfirmen	2
adaptiert	2
fügten	2
unix-systemen	2
führte	2
x11-benutzer	2
mussten	2
bleibt	2
ausführen	2
gering	2
zwangsläufig	2
loch	2
meiste	2
wuchs	2
übernahm	2
einnahmen	2
gedruckten	2
weitergegeben	2
befehlszeileninterpreter	2
5	2
freie-software-geschäft	2
brauchte	2
bestreiten	2
freie-software-unternehmen	2
passen	2
produkte	2
werte	2
gerne	2
ziele	2
feste	2
möglichen	2
kleine	2
standard	2
überprüfen	2
zuverlässigkeit	2
geschwindigkeit	2
spende	2
löste	2
paket	2
ersetzten	2
gnu-aufgabenliste	2
unix-komponenten	2
gesamtsystem	2
6	2
vorhanden	2
aufgabenliste	2
lgpl	2
7	2
prinzip	2
softwareprodukte	2
strategie	2
erfüllt	2
bestimmen	2
verbieten	2
häufigkeit	2
inzwischen	2
echter	2
hoffe	2
geschriebenen	2
c-compiler	2
gdb	2
bewältigen	2
gegangen	2
lesstif	2
unten	2
unerwartete	2
entwicklungen	2
freigeben	2
umgesetzt	2
komplettes	2
zog	2
gelder	2
mitwirkende	2
gnus	2
hurd-server	2
bushnell	2
systemkerns	2
verschwinden	2
1991	2
zunächst	2
fertigen	2
„linux“	2
breites	2
unsicher	2
geheime	2
morgen	2
reverse	2
engineering	2
spezifikationen	2
ja	2
unerträglich	2
bios	2
libreboot	2
verhält	2
freie-software-entwickler	2
nutzbringend	2
schlimmer	2
reagierte	2
zweierlei	2
freie-software-projekte	2
1997	2
kde	2
ausgesetzt	2
red	2
ausstattung	2
grunde	2
erzeugen	2
stammt	2
zwingen	2
erlöschen	2
patentierte	2
überlegen	2
anhalten	2
integrieren	2
wesentlicher	2
softwarepakets	2
wichtiges	2
erhältlich	2
ziemlich	2
programmkopie	2
entscheidender	2
glaube	2
handlungen	2
ansichten	2
angeboten	2
copyright-hinweis	2
nichttechnische	2
abhalten	2
medien	2
rein	2
offensichtlich	2
schneller	2
einzunehmen	2
weitem	2
stellt	2
gefüllt	2
technik	2
versuchen	2
ausreichen	2
gefallen	2
gelernt	2
freude	2
gefahren	2
gnu-manifest	2
wortwahl	2
punkte	2
installieren	2
seinem	2
existiert	2
hunderte	2
bereitstellen	2
unix-programme	2
gebräuchlichen	2
insbesondere	2
kommunikation	2
will	2
goldene	2
anwender	2
solchen	2
geschehen	2
genügend	2
eigenschaften	2
distributor	2
begeistert	2
naturgemäß	2
gesetz	2
befolgen	2
projekte	2
priorität	2
rechnerhersteller	2
geldspenden	2
einzelpersonen	2
widmen	2
rechnerbenutzer	2
eingesetzt	2
verlangte	2
installiert	2
speziell	2
angewiesen	2
quelltexte	2
beauftragen	2
einzelnen	2
hohen	2
unerschwinglich	2
bringt	2
wirklichkeit	2
erzielen	2
konkurrenz	2
hersteller	2
sozialer	2
beitrag	2
demselben	2
destruktiv	2
basieren	2
zerstörung	2
reichtum	2
gegenseitige	2
straße	2
grimassen	2
einbringt	2
softwaregeschäft	2
z	2
verglichen	2
unrecht	2
einfordern	2
vergessen	2
faustkampf	2
aufhören	2
anerkennung	2
zahlende	2
wartung	2
produktivität	2
aktivität	2
formulierung	2
entgelt	2
weiteres	2
eindeutig	2
bedeutungen	2
häufigste	2
freie-software-welt	2
verwirrend	2
„geistiges	2
eigentum“	2
gesetze	2
halte	2
vollständigen	2
perl	2
mal	2
verlieren	2
exemplare	2
verkauft	2
gnu-handbüchern	2
leute	2
ausnahmen	2
beträchtlichen	2
niedriger	2
freie-software-kopien	2
geldmittel	2
übrig	2
höherer	2
popularität	2
anzahl	2
historische	1
angekündigt	1
zusammengestellt	1
chief	1
gnuisance	1
anhaltende	1
100 %	1
95%ig	1
99	1
5%ig	1
tribut	1
zollen	1
gegensatz	1
linux-libre-betriebssystemkern	1
beziehung	1
umfassend	1
abgestimmt	1
funktionierendes	1
gemeinsamer	1
upstream	1
gnu-paketen	1
abgeschlossen	1
größtmögliche	1
benutzerorientierte	1
hilfsprogramme	1
zweckmäßigerweise	1
willkommen	1
angeschlossen	1
mitzuwirken	1
nichttechnisch	1
treffen	1
meetings	1
libreplanet-konferenzen	1
gegründete	1
freie-software-ideale	1
einzutreten	1
copyright-übertragungen	1
verzichtserklärungen	1
gericht	1
fungieren	1
übertragen	1
zuweist	1
durchsetzen	1
zuwider	1
behält	1
endgültige	1
vergangenheit	1
⮝	1
weltweiten	1
mission	1
mitmachen	1
shoppen	1
&	1
ungültige	1
korrekturen	1
gesendet	1
werkes	1
größter	1
sorgfalt	1
vorgegangen	1
bemerken	1
übersetzungsteam	1
koordinierung	1
einsendung	1
internetpräsenz	1
liesmich	1
©	1
2011	1
2014	1
2017	1
inc	1
lizenziert	1
creative	1
commons	1
namensnennung-keine	1
bearbeitungen	1
international-lizenz	1
mitteilung	1
urheberrechtsverletzung	1
das?	1
beantwortete	1
freie-software-lizenzierung?	1
weiteren	1
ressourcen	1
unbeantworteten	1
anliegen	1
licensing@fsf	1
compliance	1
softwareprogramm	1
subtilen	1
gemachten	1
„open-source“-definition	1
beruht	1
quelloffenen	1
verfehlt	1
allgemein	1
französischen	1
spanischen	1
entlehnt	1
keinesfalls	1
kämpfen	1
einzeln	1
ungerechter	1
datenverarbeitungbedürfnissen	1
profitiert	1
ansonsten	1
vertriebsschemata	1
bezug	1
inwieweit	1
zurückbleiben	1
gleichermaßen	1
angenommenen	1
szenario	1
zutreffen	1
automatisch	1
startet	1
impliziert	1
vorhaben	1
relevant	1
gleichbedeutend	1
unkommerziell	1
unüblich	1
ausgegeben	1
unentgeltlich	1
erläutert	1
beliebigen	1
irgendeinem	1
weitergibt	1
absichten	1
funktionalität	1
umgebung	1
funktionieren	1
bereich	1
veröffentlichen	1
zugänglichkeit	1
notwendige	1
„quellcode“	1
zählt	1
abriegelung	1
engl	1
‚lockdown‘	1
praktizierenden	1
perversen	1
terminologie	1
„secure	1
boot“	1
bekannte	1
fadenscheinigen	1
realität	1
verfügbaren	1
unterroutinen	1
-modulen	1
programmlizenz	1
lizenzierten	1
moduls	1
copyrightinhaber	1
hinzuzufügenden	1
darstellt	1
subjektive	1
grundlegende	1
spiel	1
erwähnen	1
irgendjemand	1
benachrichtigen	1
aufs	1
binäre	1
unmodifizierte	1
ausführbarer	1
bequem	1
installierbare	1
binärdatei	1
funktion	1
widersprechen	1
vereinfacht	1
verhindert	1
redistribution	1
widerspricht	1
schützt	1
rechtlich	1
sichern	1
ethisch	1
vertretbar	1
kategorien	1
softwarekategorien	1
verpackungs-	1
distributionsinformationen	1
verpacken	1
logo	1
aufwändig	1
effektiv	1
nimmt	1
darstellen	1
‚wenn	1
stellen‘	1
derselben	1
akzeptable	1
früheren	1
einsetzbare	1
besonderes	1
ergibt	1
wirksam	1
original	1
jenen	1
geeignete	1
alias-funktion	1
originalprogramms	1
decknamen	1
mitunter	1
staatliche	1
ausfuhrkontrollbestimmungen	1
handelssanktionen	1
international	1
beseitigen	1
kraft	1
widersetzen	1
nutzungsbedingungen	1
betreffen	1
außerhalb	1
rechtsordnungen	1
gehorsam	1
trivialen	1
ausübung	1
wesentlichsten	1
bloße	1
ausfuhrbestimmung	1
erforderliche	1
tatsächliches	1
spätere	1
exportgesetz	1
erfordernis	1
hinweise	1
gelten	1
dauerhaft	1
unwiderruflich	1
unrechtes	1
anstellt	1
widerrufen	1
rückwirkend	1
anlass	1
dementsprechend	1
genutzten	1
angabe	1
rechtsstreitigkeiten	1
durchgeführt	1
auftragsbezogene	1
auferlegt	1
oben	1
beschriebene	1
unwahrscheinlich	1
voraussehbar	1
gelegentlich	1
vorkommt	1
verträgen	1
verträge	1
bandbreite	1
auferlegen	1
aufzuführen	1
auftreten	1
vertragsbasierte	1
ungewöhnliche	1
nachdenken	1
schluss	1
empfiehlt	1
implizieren	1
gehen	1
gebräuchliche	1
„piraterie“	1
voreingenommene	1
irreführende	1
begriffs	1
abschließend	1
angegeben	1
sorgfältige	1
basierend	1
passt	1
übertriebene	1
lizenzanforderung	1
rechtsanwalt	1
annehmbar	1
abschluss	1
gebracht	1
aktualisiert	1
verständlicher	1
betreffende	1
überschaubare	1
ausuferung	1
erhöhten	1
behilflich	1
software-handbücher	1
argumente	1
praktischem	1
nützliches	1
verkörpern	1
wikipedia	1
bekannteste	1
jegliches	1
kulturellen	1
jeglicher	1
offener	1
quellcode?	1
gruppierung	1
identisches	1
ruft	1
erinnerung	1
substanziellen	1
veranschaulichen	1
153	1
135	1
beliebig	1
134	1
zweckmäßigkeit	1
131	1
129	1
anwendbaren	1
rechts	1
gerichtsstandes	1
grundsatz	1
122	1
ausfuhrkontrollbestimmung	1
echtes	1
118	1
111	1
rückwirkenden	1
urheberrechtsinhaber	1
jederzeit	1
werks	1
einräumen	1
parallel	1
105	1
spiegelt	1
kurzen	1
darstellung	1
wider	1
92	1
90	1
​​das	1
einräumt	1
verbesserten	1
beteiligung	1
entwicklungsprojekt	1
89	1
theoretisch	1
praktisch	1
umsetzbar	1
nachträglichen	1
lizenzänderungen	1
vollständiger	1
74	1
punkten	1
reflektiert	1
verbreitung	1
zusammenzufügen	1
lizenzierte	1
punktes	1
exportkontrolle	1
einführung	1
lizenzänderung	1
aufhebung	1
alten	1
57	1
abschnitt	1
46	1
bedeutsamen	1
ziels	1
vertraglich	1
geregelter	1
40	1
39	1
bereitgestellte	1
softwareversionen	1
31	1
geringfügige	1
23	1
potenzielle	1
vertragsbasierten	1
16	1
11	1
vorschreiben	1
nachfrage	1
früherer	1
übersenden	1
interpretationen	1
versionsnummern	1
nebenbemerkungen	1
formatierung	1
rechtschreibung	1
zeichensetzung	1
